seed,arm,nv_heldout,nv_default,nv_testbest,chosen,testbest,transfer_loss
5,oracle_Qstar,0.594,0.371,0.594,max x2.0,max x2.0,0.0
5,vanilla,0.659,0.423,0.659,max x2.0,max x2.0,0.0
5,potential_exact,0.57,0.371,0.582,max x1.25,max x2.0,0.013
5,action_deleted,0.443,0.443,0.5,q0.95,q0.9,0.056
5,filtBC_keep0.5,0.656,0.656,0.656,(no ask),(no ask),0.0
6,A_structured,0.584,0.681,0.681,q0.925,q0.95,0.097
6,B_unconstrained,0.399,0.093,0.559,q1.0,max x2.0,0.16
6,QDT_td,0.717,0.549,0.717,q1.0,q1.0,0.0
6,QDT_qsa,0.596,0.68,0.68,q0.9,q0.95,0.084
6,oracle_Qstar,0.549,0.43,0.568,q0.975,max x2.0,0.019
6,vanilla,0.677,0.55,0.677,q0.975,q0.975,0.0
6,potential_exact,0.52,0.458,0.55,q0.975,max x2.0,0.03
6,action_deleted,0.78,0.78,0.78,q0.95,q0.95,0.0
6,filtBC_keep0.5,0.603,0.603,0.603,(no ask),(no ask),0.0
7,A_structured,0.639,0.693,0.693,q0.975,q0.95,0.053
7,B_unconstrained,0.563,0.14,0.563,max x1.25,max x1.25,0.0
7,QDT_td,0.699,0.669,0.699,q1.0,q1.0,0.0
7,QDT_qsa,0.642,0.657,0.657,q0.925,q0.95,0.015
7,oracle_Qstar,0.582,0.14,0.582,max x1.25,max x1.25,0.0
7,vanilla,0.554,0.13,0.554,max x2.0,max x2.0,0.0
7,potential_exact,0.581,0.292,0.581,max x1.25,max x1.25,0.0
7,action_deleted,0.805,0.777,0.805,q0.99,q0.99,0.0
7,filtBC_keep0.5,0.677,0.677,0.677,(no ask),(no ask),0.0
8,A_structured,0.693,0.693,0.693,q0.95,q0.975,0.0
8,B_unconstrained,0.527,0.231,0.575,q0.975,q0.99,0.048
8,QDT_td,0.673,0.673,0.673,q0.95,q0.925,0.0
8,QDT_qsa,0.678,0.631,0.678,q0.85,q0.85,0.0
8,oracle_Qstar,0.574,0.49,0.574,q1.0,q0.99,0.0
8,vanilla,0.458,0.491,0.644,q1.0,q0.99,0.186
8,potential_exact,0.574,0.307,0.574,q0.99,q0.975,0.0
8,action_deleted,0.551,0.677,0.678,q0.99,q0.975,0.128
8,filtBC_keep0.5,0.75,0.75,0.75,(no ask),(no ask),0.0
9,A_structured,0.783,0.717,0.783,q0.975,q0.975,0.0
9,B_unconstrained,0.538,0.325,0.547,q1.0,max x1.25,0.009
9,QDT_td,0.656,0.663,0.719,q0.99,q1.0,0.063
9,QDT_qsa,0.609,0.609,0.712,q0.95,q1.0,0.103
9,oracle_Qstar,0.618,0.264,0.618,max x1.25,max x1.25,0.0
9,vanilla,0.62,0.556,0.695,q0.975,q0.99,0.075
9,potential_exact,0.587,0.269,0.603,max x1.25,q1.0,0.016
9,action_deleted,0.646,0.646,0.648,q0.95,q0.9,0.002
9,filtBC_keep0.5,0.787,0.787,0.787,(no ask),(no ask),0.0
